RequestNum,PublisherNum,SubscribersNum,ValueSize,QoS,Throughput
10000, 50, 7, 128, 0, 18870.942063
10000, 50, 7, 128, 0, 21163.969743
10000, 50, 7, 128, 0, 21323.374237
10000, 50, 7, 128, 0, 20756.115223
10000, 50, 7, 128, 0, 19875.526218
10000, 100, 7, 128, 0, 22084.929101
10000, 100, 7, 128, 0, 22173.693320
10000, 100, 7, 128, 0, 20148.577017
10000, 100, 7, 128, 0, 21837.082854
10000, 100, 7, 128, 0, 22422.587524
10000, 150, 7, 128, 0, 21665.012308
10000, 150, 7, 128, 0, 22080.647733
10000, 150, 7, 128, 0, 22679.689502
10000, 150, 7, 128, 0, 20091.577935
10000, 150, 7, 128, 0, 21621.699974
10000, 200, 7, 128, 0, 19535.500956
10000, 200, 7, 128, 0, 19406.262940
10000, 200, 7, 128, 0, 19594.566090
10000, 200, 7, 128, 0, 19651.276697
10000, 200, 7, 128, 0, 20257.658865
10000, 250, 7, 128, 0, 18830.459623
10000, 250, 7, 128, 0, 18402.361619
10000, 250, 7, 128, 0, 17645.984173
10000, 250, 7, 128, 0, 20068.449830
10000, 250, 7, 128, 0, 16747.966179
10000, 300, 7, 128, 0, 16171.160635
10000, 300, 7, 128, 0, 19447.480358
10000, 300, 7, 128, 0, 18403.284580
10000, 300, 7, 128, 0, 19081.772586
10000, 300, 7, 128, 0, 18667.937869
10000, 350, 7, 128, 0, 20179.673435
10000, 350, 7, 128, 0, 19079.500238
10000, 350, 7, 128, 0, 19058.996615
10000, 350, 7, 128, 0, 17462.925881
10000, 350, 7, 128, 0, 18820.692226
10000, 400, 7, 128, 0, 19714.010661
10000, 400, 7, 128, 0, 19808.739450
10000, 400, 7, 128, 0, 18468.730856
10000, 400, 7, 128, 0, 18576.685147
10000, 400, 7, 128, 0, 20640.472542
10000, 450, 7, 128, 0, 20351.092820
10000, 450, 7, 128, 0, 18388.535038
10000, 450, 7, 128, 0, 19704.578050
10000, 450, 7, 128, 0, 18705.766847
10000, 450, 7, 128, 0, 19432.173281
10000, 500, 7, 128, 0, 18470.860893
10000, 500, 7, 128, 0, 19183.848857
10000, 500, 7, 128, 0, 20292.234558
10000, 500, 7, 128, 0, 20425.483992
10000, 500, 7, 128, 0, 19424.012682
10000, 550, 7, 128, 0, 19344.573506
10000, 550, 7, 128, 0, 18197.308161
10000, 550, 7, 128, 0, 18581.546367
10000, 550, 7, 128, 0, 19069.148334
10000, 550, 7, 128, 0, 19896.660169
10000, 600, 7, 128, 0, 17973.777976
10000, 600, 7, 128, 0, 20036.068530
10000, 600, 7, 128, 0, 19512.867393
10000, 600, 7, 128, 0, 20189.353646
10000, 600, 7, 128, 0, 19237.106489
10000, 650, 7, 128, 0, 19453.546040
10000, 650, 7, 128, 0, 19658.487603
10000, 650, 7, 128, 0, 17512.933560
10000, 650, 7, 128, 0, 18904.174710
10000, 650, 7, 128, 0, 19088.364051
10000, 700, 7, 128, 0, 21048.578066
10000, 700, 7, 128, 0, 19763.340714
10000, 700, 7, 128, 0, 20308.498769
10000, 700, 7, 128, 0, 20966.599090
10000, 700, 7, 128, 0, 19098.356943
10000, 750, 7, 128, 0, 20226.388915
10000, 750, 7, 128, 0, 18820.657583
10000, 750, 7, 128, 0, 18693.550560
10000, 750, 7, 128, 0, 19530.075945
10000, 750, 7, 128, 0, 19427.322250
10000, 800, 7, 128, 0, 19475.705289
10000, 800, 7, 128, 0, 20698.956527
10000, 800, 7, 128, 0, 19284.009340
10000, 800, 7, 128, 0, 19715.492587
10000, 800, 7, 128, 0, 18107.484882
10000, 850, 7, 128, 0, 20143.157014
10000, 850, 7, 128, 0, 18798.551348
10000, 850, 7, 128, 0, 21527.614787
10000, 850, 7, 128, 0, 19511.865876
10000, 850, 7, 128, 0, 19124.534794
10000, 900, 7, 128, 0, 19573.240641
10000, 900, 7, 128, 0, 19875.803577
10000, 900, 7, 128, 0, 18737.910546
10000, 900, 7, 128, 0, 17187.581292
10000, 900, 7, 128, 0, 19212.443072
10000, 950, 7, 128, 0, 20274.901387
10000, 950, 7, 128, 0, 20079.535522
10000, 950, 7, 128, 0, 19507.941249
10000, 950, 7, 128, 0, 19201.979739
10000, 950, 7, 128, 0, 19336.378057
10000, 50, 7, 128, 1, 3297.420539
10000, 50, 7, 128, 1, 3252.646486
10000, 50, 7, 128, 1, 3312.535789
10000, 50, 7, 128, 1, 3269.177843
10000, 50, 7, 128, 1, 3238.724830
10000, 100, 7, 128, 1, 3854.716188
10000, 100, 7, 128, 1, 3904.995009
10000, 100, 7, 128, 1, 3891.987006
10000, 100, 7, 128, 1, 3827.505599
10000, 100, 7, 128, 1, 3742.748956
10000, 150, 7, 128, 1, 4131.369325
10000, 150, 7, 128, 1, 4204.605240
10000, 150, 7, 128, 1, 4180.924095
10000, 150, 7, 128, 1, 4081.687114
10000, 150, 7, 128, 1, 4079.483015
10000, 200, 7, 128, 1, 4268.576042
10000, 200, 7, 128, 1, 4231.458360
10000, 200, 7, 128, 1, 4335.964487
10000, 200, 7, 128, 1, 4251.919432
10000, 200, 7, 128, 1, 4206.198244
10000, 250, 7, 128, 1, 4259.038335
10000, 250, 7, 128, 1, 4210.002579
10000, 250, 7, 128, 1, 4046.323203
10000, 250, 7, 128, 1, 4351.940084
10000, 250, 7, 128, 1, 4342.061585
10000, 300, 7, 128, 1, 4344.809665
10000, 300, 7, 128, 1, 4432.954131
10000, 300, 7, 128, 1, 4355.287101
10000, 300, 7, 128, 1, 4450.304530
10000, 300, 7, 128, 1, 4335.818248
10000, 350, 7, 128, 1, 4398.623284
10000, 350, 7, 128, 1, 4335.833263
10000, 350, 7, 128, 1, 4340.775004
10000, 350, 7, 128, 1, 4512.409469
10000, 350, 7, 128, 1, 4273.757674
10000, 400, 7, 128, 1, 4477.082571
10000, 400, 7, 128, 1, 4452.793779
10000, 400, 7, 128, 1, 4232.481092
10000, 400, 7, 128, 1, 4371.549670
